#Campaign GEM 2008/2009 Modeling Challenge
#Event 1
#Metrics 4
#Instrument PBQ
#Submission Observation
#ModelSettingID
#RORnumber
Year Month Day Hour Min Sec GeomagLat GeomagLon dBdt_NorthGeomag dBdt_EastGeomag dBdt_DownGeomag
[year]  [month]  [day] [hour]  [min]  [s] [deg] [deg] [nT/s] [nT/s] [nT/s]
2003 10 29 0 0 30     65.7000     -8.5000      0.1000     -0.0117      0.3767
2003 10 29 0 1 30     65.7000     -8.5000     -0.0383     -0.0967      0.1150
2003 10 29 0 2 30     65.7000     -8.5000     -0.1067     -0.0900      0.0667
2003 10 29 0 3 30     65.7000     -8.5000     -0.3767     -0.2683     -0.2600
2003 10 29 0 4 30     65.7000     -8.5000     -0.1867     -0.2700     -0.1083
2003 10 29 0 5 30     65.7000     -8.5000     -0.1033     -0.0700      0.3883
2003 10 29 0 6 30     65.7000     -8.5000     -0.0783     -0.1150      0.1050
2003 10 29 0 7 30     65.7000     -8.5000      0.0917     -0.1050      0.0183
2003 10 29 0 8 30     65.7000     -8.5000     -0.0400      0.1400      0.2683
2003 10 29 0 9 30     65.7000     -8.5000     -0.0800      0.1183      0.1700
2003 10 29 0 10 30     65.7000     -8.5000     -0.1817      0.1300      0.2333
2003 10 29 0 11 30     65.7000     -8.5000     -0.4000      0.1750      0.1783
2003 10 29 0 12 30     65.7000     -8.5000     -0.0833      0.1217     -0.0217
2003 10 29 0 13 30     65.7000     -8.5000      0.0550     -0.2283     -0.7467
2003 10 29 0 14 30     65.7000     -8.5000      0.2500      0.2200     -0.0667
2003 10 29 0 15 30     65.7000     -8.5000      0.1967     -0.0583     -0.2800
2003 10 29 0 16 30     65.7000     -8.5000      0.2667     -0.1750     -0.0550
2003 10 29 0 17 30     65.7000     -8.5000      0.4117     -0.1417     -0.0617
2003 10 29 0 18 30     65.7000     -8.5000     -0.1150     -0.1767      0.4700
2003 10 29 0 19 30     65.7000     -8.5000     -0.3517      0.2017      0.7283
2003 10 29 0 20 30     65.7000     -8.5000     -0.3833      0.1383      0.4450
2003 10 29 0 21 30     65.7000     -8.5000     -0.3683      0.0100      0.0617
2003 10 29 0 22 30     65.7000     -8.5000     -0.2367     -0.0833     -0.1300
2003 10 29 0 23 30     65.7000     -8.5000      0.0583     -0.0600     -0.3750
2003 10 29 0 24 30     65.7000     -8.5000      0.1283      0.0100     -0.2750
2003 10 29 0 25 30     65.7000     -8.5000     -0.1700     -0.0383     -0.0900
2003 10 29 0 26 30     65.7000     -8.5000      0.2317     -0.0917     -0.0583
2003 10 29 0 27 30     65.7000     -8.5000      0.1550     -0.0650     -0.1150
2003 10 29 0 28 30     65.7000     -8.5000      0.0767     -0.1683     -0.1933
2003 10 29 0 29 30     65.7000     -8.5000     -0.1050     -0.0633      0.1917
2003 10 29 0 30 30     65.7000     -8.5000     -0.2500     -0.0867      0.4833
2003 10 29 0 31 30     65.7000     -8.5000     -0.3217      0.0400      0.6283
2003 10 29 0 32 30     65.7000     -8.5000      0.0250      0.0067      0.0850
2003 10 29 0 33 30     65.7000     -8.5000     -0.0583     -0.0083      0.0083
2003 10 29 0 34 30     65.7000     -8.5000      0.1533     -0.0317     -0.2417
2003 10 29 0 35 30     65.7000     -8.5000      0.0733      0.0217     -0.3267
2003 10 29 0 36 30     65.7000     -8.5000      0.2633      0.1550     -0.0517
2003 10 29 0 37 30     65.7000     -8.5000      0.3867      0.1817     -0.0233
2003 10 29 0 38 30     65.7000     -8.5000      0.3033      0.1650      0.0533
2003 10 29 0 39 30     65.7000     -8.5000      0.1467      0.0617      0.0000
2003 10 29 0 40 30     65.7000     -8.5000      0.1400     -0.0567     -0.1833
2003 10 29 0 41 30     65.7000     -8.5000      0.0083     -0.2400     -0.4300
2003 10 29 0 42 30     65.7000     -8.5000      0.1750     -0.0250     -0.1033
2003 10 29 0 43 30     65.7000     -8.5000      0.2333      0.0833      0.0517
2003 10 29 0 44 30     65.7000     -8.5000      0.1650     -0.0333      0.0250
2003 10 29 0 45 30     65.7000     -8.5000      0.0283     -0.0717      0.0133
2003 10 29 0 46 30     65.7000     -8.5000      0.0067     -0.1717     -0.1683
2003 10 29 0 47 30     65.7000     -8.5000     -0.1600     -0.1083     -0.0983
2003 10 29 0 48 30     65.7000     -8.5000     -0.4917     -0.0367      0.1383
2003 10 29 0 49 30     65.7000     -8.5000     -0.4783     -0.2450      0.5083
2003 10 29 0 50 30     65.7000     -8.5000     -0.1783      0.0650     -0.0683
