#Campaign GEM 2008/2009 Modeling Challenge
#Event 1
#Metrics 4
#Instrument YKC
#Submission Observation
#ModelSettingID
#RORnumber
Year Month Day Hour Min Sec GeomagLat GeomagLon dBdt_NorthGeomag dBdt_EastGeomag dBdt_DownGeomag
[year]  [month]  [day] [hour]  [min]  [s] [deg] [deg] [nT/s] [nT/s] [nT/s]
2003 10 29 0 0 30     69.0000    -61.4000     -0.1150      0.0233     -0.1933
2003 10 29 0 1 30     69.0000    -61.4000     -0.1750     -0.1433      0.0367
2003 10 29 0 2 30     69.0000    -61.4000      0.3517     -0.3650      0.1050
2003 10 29 0 3 30     69.0000    -61.4000      0.1283     -0.3200     -0.1883
2003 10 29 0 4 30     69.0000    -61.4000      0.2517     -0.2083     -0.6633
2003 10 29 0 5 30     69.0000    -61.4000      0.3467     -0.0250     -0.5133
2003 10 29 0 6 30     69.0000    -61.4000      0.3367      0.2900     -0.3133
2003 10 29 0 7 30     69.0000    -61.4000     -0.0383      0.1967     -0.2467
2003 10 29 0 8 30     69.0000    -61.4000     -0.2517     -0.3433     -0.1250
2003 10 29 0 9 30     69.0000    -61.4000      0.4150     -0.0767      0.1167
2003 10 29 0 10 30     69.0000    -61.4000     -0.6000      0.2867     -0.1250
2003 10 29 0 11 30     69.0000    -61.4000     -0.9783      0.2350      0.2233
2003 10 29 0 12 30     69.0000    -61.4000      0.6100      0.4133      0.1833
2003 10 29 0 13 30     69.0000    -61.4000     -0.0567     -0.6183     -0.1467
2003 10 29 0 14 30     69.0000    -61.4000     -0.2433     -0.2200     -0.3217
2003 10 29 0 15 30     69.0000    -61.4000      0.0333      0.1900     -0.7933
2003 10 29 0 16 30     69.0000    -61.4000     -0.1150      0.2917     -0.7233
2003 10 29 0 17 30     69.0000    -61.4000     -0.4233      0.1967     -0.4983
2003 10 29 0 18 30     69.0000    -61.4000     -0.2417      0.2333      0.4317
2003 10 29 0 19 30     69.0000    -61.4000      0.3900      0.0167      0.8433
2003 10 29 0 20 30     69.0000    -61.4000      0.0433      0.0600      0.4533
2003 10 29 0 21 30     69.0000    -61.4000      0.0550     -0.2583      0.4317
2003 10 29 0 22 30     69.0000    -61.4000      0.0783     -0.1183     -0.0967
2003 10 29 0 23 30     69.0000    -61.4000      0.3217     -0.0700      0.0350
2003 10 29 0 24 30     69.0000    -61.4000      0.7433      0.1517     -0.0533
2003 10 29 0 25 30     69.0000    -61.4000      0.4167      0.2683     -0.0550
2003 10 29 0 26 30     69.0000    -61.4000     -0.1217      0.3617      0.0333
2003 10 29 0 27 30     69.0000    -61.4000     -0.0900     -0.0483     -0.0717
2003 10 29 0 28 30     69.0000    -61.4000     -0.1650     -0.3617     -0.3017
2003 10 29 0 29 30     69.0000    -61.4000     -0.4150     -0.1967     -0.4983
2003 10 29 0 30 30     69.0000    -61.4000      0.1750     -0.4333     -0.0667
2003 10 29 0 31 30     69.0000    -61.4000      0.0100     -0.1500      0.0217
2003 10 29 0 32 30     69.0000    -61.4000     -0.0083      0.0767     -0.0767
2003 10 29 0 33 30     69.0000    -61.4000     -0.3400     -0.1250     -0.1000
2003 10 29 0 34 30     69.0000    -61.4000     -0.5967     -0.2300     -0.0800
2003 10 29 0 35 30     69.0000    -61.4000     -0.3467      0.4267      0.3767
2003 10 29 0 36 30     69.0000    -61.4000     -0.0083      0.4133      0.3533
2003 10 29 0 37 30     69.0000    -61.4000      0.4150      0.2100      0.1433
2003 10 29 0 38 30     69.0000    -61.4000      0.0333      0.0783     -0.4800
