#Campaign GEM 2008/2009 Modeling Challenge
#Event 2
#Metrics 4
#Instrument PBQ
#Submission Observation
#ModelSettingID
#RORnumber
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[year]  [month]  [day] [hour]  [min]  [s] [deg] [deg] [nT] [nT] [nT]
Year Month Day Hour Min Sec GeomagLat GeomagLon dBdt_NorthGeomag dBdt_EastGeomag dBdt_DownGeomag
[year] [month] [day] [hour] [min] [s] [deg] [deg] [nT/s]T] [nT/s]T] [nT/s]T]
2006 12 14 0 2 30     65.7000     -8.5000     -0.0200     -0.0500     -0.0650
2006 12 14 0 3 30     65.7000     -8.5000      0.1050      0.0050     -0.0200
2006 12 14 0 4 30     65.7000     -8.5000      0.0717      0.0483      0.0717
2006 12 14 0 5 30     65.7000     -8.5000     -0.0350      0.0033      0.0533
2006 12 14 0 6 30     65.7000     -8.5000     -0.0767     -0.0267      0.0117
2006 12 14 0 7 30     65.7000     -8.5000     -0.0067     -0.0117     -0.0600
2006 12 14 0 8 30     65.7000     -8.5000      0.0633      0.0017     -0.0067
2006 12 14 0 9 30     65.7000     -8.5000      0.0150      0.0067      0.0117
2006 12 14 0 10 30     65.7000     -8.5000     -0.0067      0.0000      0.0233
2006 12 14 0 11 30     65.7000     -8.5000     -0.0150     -0.0150     -0.0117
2006 12 14 0 12 30     65.7000     -8.5000      0.0133     -0.0117     -0.0267
2006 12 14 0 13 30     65.7000     -8.5000      0.0117     -0.0067     -0.0167
2006 12 14 0 14 30     65.7000     -8.5000     -0.0283     -0.0050      0.0367
2006 12 14 0 15 30     65.7000     -8.5000     -0.0383      0.0100      0.0583
2006 12 14 0 16 30     65.7000     -8.5000     -0.0267     -0.0133      0.0017
2006 12 14 0 17 30     65.7000     -8.5000     -0.0100     -0.0100     -0.0050
2006 12 14 0 18 30     65.7000     -8.5000      0.0050      0.0100      0.0233
2006 12 14 0 19 30     65.7000     -8.5000      0.0133      0.0167      0.0433
2006 12 14 0 20 30     65.7000     -8.5000     -0.0067      0.0200      0.0600
2006 12 14 0 21 30     65.7000     -8.5000     -0.0250      0.0217      0.0750
2006 12 14 0 22 30     65.7000     -8.5000     -0.0133      0.0033     -0.0050
2006 12 14 0 23 30     65.7000     -8.5000      0.0500      0.0217     -0.0433
2006 12 14 0 24 30     65.7000     -8.5000      0.0367      0.0067     -0.0317
2006 12 14 0 25 30     65.7000     -8.5000     -0.0583     -0.0317     -0.0450
2006 12 14 0 26 30     65.7000     -8.5000      0.0333     -0.0067     -0.0133
2006 12 14 0 27 30     65.7000     -8.5000      0.0033     -0.0167      0.0217
2006 12 14 0 28 30     65.7000     -8.5000     -0.0383      0.0083      0.0700
2006 12 14 0 29 30     65.7000     -8.5000      0.0067      0.0067      0.0117
2006 12 14 0 30 30     65.7000     -8.5000      0.0183      0.0233     -0.0167
2006 12 14 0 31 30     65.7000     -8.5000      0.0100     -0.0033     -0.0350
2006 12 14 0 32 30     65.7000     -8.5000      0.0117     -0.0117     -0.0083
2006 12 14 0 33 30     65.7000     -8.5000      0.0000      0.0067      0.0133
2006 12 14 0 34 30     65.7000     -8.5000     -0.0083     -0.0200     -0.0267
2006 12 14 0 35 30     65.7000     -8.5000     -0.0050     -0.0133      0.0050
2006 12 14 0 36 30     65.7000     -8.5000      0.0083      0.0000     -0.0250
2006 12 14 0 37 30     65.7000     -8.5000     -0.0133     -0.0233      0.0117
2006 12 14 0 38 30     65.7000     -8.5000     -0.0133     -0.0167     -0.0217
2006 12 14 0 39 30     65.7000     -8.5000      0.0350      0.0017      0.0783
2006 12 14 0 40 30     65.7000     -8.5000      0.0350      0.0617      0.0650
2006 12 14 0 41 30     65.7000     -8.5000      0.0417      0.0017      0.0167
2006 12 14 0 42 30     65.7000     -8.5000      0.0017      0.0283      0.0567
2006 12 14 0 43 30     65.7000     -8.5000      0.0117      0.0067     -0.0617
2006 12 14 0 44 30     65.7000     -8.5000      0.0150      0.0117      0.0233
2006 12 14 0 45 30     65.7000     -8.5000      0.0067      0.0033      0.0067
2006 12 14 0 46 30     65.7000     -8.5000      0.0067     -0.0133      0.1000
2006 12 14 0 47 30     65.7000     -8.5000     -0.0833      0.0233      0.0083
2006 12 14 0 48 30     65.7000     -8.5000      0.0800      0.0083     -0.0133
2006 12 14 0 49 30     65.7000     -8.5000      0.0750      0.0367      0.0817
2006 12 14 0 50 30     65.7000     -8.5000      0.0200     -0.0050      0.0017
2006 12 14 0 51 30     65.7000     -8.5000     -0.0583     -0.0217     -0.0233
2006 12 14 0 52 30     65.7000     -8.5000      0.0433      0.0267      0.0283
2006 12 14 0 53 30     65.7000     -8.5000      0.0817     -0.0050      0.1000
2006 12 14 0 54 30     65.7000     -8.5000     -0.0550      0.0017      0.0833
2006 12 14 0 55 30     65.7000     -8.5000     -0.0417     -0.0017     -0.0933
2006 12 14 0 56 30     65.7000     -8.5000      0.0450     -0.0467      0.0000
2006 12 14 0 57 30     65.7000     -8.5000     -0.0400      0.0333      0.0867
2006 12 14 0 58 30     65.7000     -8.5000      0.0200     -0.0167     -0.0067
2006 12 14 0 59 30     65.7000     -8.5000      0.0467      0.0150      0.1267
2006 12 14 1 0 30     65.7000     -8.5000      0.0300      0.0117     -0.0083
2006 12 14 1 1 30     65.7000     -8.5000      0.0367      0.0083      0.0483
2006 12 14 1 2 30     65.7000     -8.5000      0.0733      0.0167      0.0650
2006 12 14 1 3 30     65.7000     -8.5000      0.0650      0.0150      0.0700
