#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument ABK
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 -14.291438 -25.70602 1.055023 
2003 10 29 01 01 00 0 0 -19.5758 -30.74184 -1.89159 
2003 10 29 01 02 00 0 0 -17.89691 -36.280881 -1.44022 
2003 10 29 01 03 00 0 0 -24.32174 -38.767091 -7.94113 
2003 10 29 01 04 00 0 0 -25.68755 -42.7623791 -11.36012 
2003 10 29 01 05 00 0 0 -27.62878 -41.872987 -14.13663 
2003 10 29 01 06 00 0 0 -26.20692 -41.64993 -10.74658 
2003 10 29 01 07 00 0 0 -25.05894 -39.503955 -8.86548 
2003 10 29 01 08 00 0 0 -26.94847 -38.270898 -4.9366 
2003 10 29 01 09 00 0 0 -30.53882 -33.285708 1.67489 
2003 10 29 01 10 00 0 0 -36.44186 -28.95857 1.89494 
2003 10 29 01 11 00 0 0 -44.47346 -27.5526 2.04325 
2003 10 29 01 12 00 0 0 -48.29409 -26.85478 -3.273046 
2003 10 29 01 16 00 0 0 -68.91833 -18.57215 -16.0526085 
2003 10 29 01 17 00 0 0 -78.66394 -12.87545 -9.83812 
2003 10 29 01 18 00 0 0 -81.870782 -8.40741999999999 -11.779973 
2003 10 29 01 20 00 0 0 -84.61461 -11.32706 -17.69479 
2003 10 29 01 24 00 0 0 -89.681503 -3.36214999999999 -1.45074 
2003 10 29 01 27 00 0 0 -102.535526 -0.486807000000013 -8.681696 
2003 10 29 01 28 00 0 0 -122.47674 -13.77611 -10.055255 
2003 10 29 01 30 00 0 0 -145.61156 -10.54792 -0.666956 
2003 10 29 01 31 00 0 0 -152.615496 -8.27958 -9.613347 
2003 10 29 01 32 00 0 0 -156.357675 -2.59478999999999 -9.409124 
2003 10 29 01 33 00 0 0 -157.137488 0.481343899999999 -17.515349 
2003 10 29 01 36 00 0 0 -162.33584 -5.89539000000002 -27.54988 
2003 10 29 01 38 00 0 0 -181.02618 -10.48746 -42.628897 
