#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument FRD
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 17.256256 8.78108 -6.190771 
2003 10 29 01 01 00 0 0 18.003503 6.368432 -9.08219 
2003 10 29 01 02 00 0 0 19.337024 3.98954 -11.981767 
2003 10 29 01 03 00 0 0 20.182898 1.81354 -12.854948 
2003 10 29 01 04 00 0 0 20.05899 -0.208719 -13.065375 
2003 10 29 01 05 00 0 0 20.689195 -1.590708 -12.517351 
2003 10 29 01 06 00 0 0 19.769729 -2.6867 -10.983762 
2003 10 29 01 07 00 0 0 18.327782 -4.30835 -10.458914 
2003 10 29 01 08 00 0 0 16.345603 -5.47092 -8.69754 
2003 10 29 01 09 00 0 0 15.034237 -5.66268 -5.7928058 
2003 10 29 01 10 00 0 0 15.640875 -5.882722 -5.310872 
2003 10 29 01 11 00 0 0 15.838929 -6.008473 -4.7908986 
2003 10 29 01 12 00 0 0 15.007632 -6.413626 -2.9593655 
2003 10 29 01 16 00 0 0 11.181705 -9.858566 -2.2190707 
2003 10 29 01 17 00 0 0 9.54636 -10.91974 -0.867766 
2003 10 29 01 18 00 0 0 8.693638 -10.574541 0.802823 
2003 10 29 01 20 00 0 0 7.730192 -10.622398 -2.209896 
2003 10 29 01 24 00 0 0 0.816945 -11.969091 7.996747 
2003 10 29 01 27 00 0 0 3.5319917 -13.161396 1.585143 
2003 10 29 01 28 00 0 0 7.744619 -11.49982 -2.48781 
2003 10 29 01 30 00 0 0 2.2012928 -10.464015 4.50372649 
2003 10 29 01 31 00 0 0 1.866897 -10.070883 5.648485 
2003 10 29 01 32 00 0 0 1.309092 -11.466372 5.61802744 
2003 10 29 01 33 00 0 0 0.166376 -13.098084 5.856922 
2003 10 29 01 36 00 0 0 -3.874556 -15.14188108 8.812387 
2003 10 29 01 38 00 0 0 -3.149291 -12.845341 8.4253726 
2003 10 29 01 40 00 0 0 -9.564372 -14.664589 16.247275 
2003 10 29 01 44 00 0 0 -10.816837 -13.21348 17.16598 
2003 10 29 01 47 00 0 0 -14.416405 -13.885533 20.6933 
2003 10 29 01 48 00 0 0 -15.840072 -13.211721 21.1698 
2003 10 29 01 49 00 0 0 -17.166404 -12.39161774 22.19049 
2003 10 29 01 50 00 0 0 -17.551456 -11.8252278 22.31846 
2003 10 29 01 51 00 0 0 -16.085316 -9.77789 21.80776 
2003 10 29 01 52 00 0 0 -13.782452 -8.435365 20.9606 
2003 10 29 01 53 00 0 0 -14.671683 -8.455281 20.83837 
2003 10 29 01 54 00 0 0 -15.710031 -8.504538 20.91355 
2003 10 29 01 55 00 0 0 -16.434251 -9.162593 21.39152 
2003 10 29 01 56 00 0 0 -17.657052 -9.158771 23.66343 
2003 10 29 01 59 00 0 0 -26.626959 -7.082191 31.55137 
2003 10 29 02 00 00 0 0 -27.769893 -6.940126 32.72803 
2003 10 29 02 04 00 0 0 -26.97922 -3.0387 31.43336 
2003 10 29 02 08 00 0 0 -30.369729 1.50659 31.13895 
2003 10 29 02 10 00 0 0 -28.854598 2.88376 27.73231 
2003 10 29 02 12 00 0 0 -28.118706 5.87543 26.73975 
2003 10 29 02 13 00 0 0 -27.458488 4.75114 23.90024 
