#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument FRN
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 10.546654 11.687975 8.018048 
2003 10 29 01 01 00 0 0 10.357958 12.880651 5.07353 
2003 10 29 01 02 00 0 0 11.241453 14.45288 2.85243 
2003 10 29 01 03 00 0 0 11.9021 14.657707 1.42329 
2003 10 29 01 04 00 0 0 12.53836 14.70531 0.254539999999999 
2003 10 29 01 05 00 0 0 13.96763 13.688455 -0.43187 
2003 10 29 01 06 00 0 0 14.02452 11.948896 -1.00983 
2003 10 29 01 07 00 0 0 13.62074 11.831671 -1.29127 
2003 10 29 01 08 00 0 0 12.55651 10.252124 -1.15543 
2003 10 29 01 09 00 0 0 12.860696 8.498373 0.10989 
2003 10 29 01 10 00 0 0 13.84263 7.634064 0.173990000000002 
2003 10 29 01 11 00 0 0 14.32529 7.75445 1.13595 
2003 10 29 01 12 00 0 0 14.13301 6.730522 1.76493 
2003 10 29 01 16 00 0 0 10.73198 4.672149 0.0287600000000001 
2003 10 29 01 17 00 0 0 10.14134 3.066938 -0.3072 
2003 10 29 01 18 00 0 0 10.123085 1.369443 -0.11889 
2003 10 29 01 20 00 0 0 7.514013 2.723111 -3.34735 
2003 10 29 01 24 00 0 0 4.482894 -4.708703 0.746138 
2003 10 29 01 27 00 0 0 9.025876 -1.22314 -4.59132 
2003 10 29 01 28 00 0 0 9.210499 1.5208624 -4.42436 
2003 10 29 01 30 00 0 0 7.022985 -3.605568 -2.438511 
2003 10 29 01 31 00 0 0 7.577786 -3.206706 -1.430961 
2003 10 29 01 32 00 0 0 7.158314 -5.118042 -2.234789 
2003 10 29 01 33 00 0 0 6.252731 -6.004689 -3.194793 
2003 10 29 01 36 00 0 0 4.986555 -8.471259 -4.38288 
2003 10 29 01 38 00 0 0 3.1418319 -6.7356299 -2.287867 
2003 10 29 01 40 00 0 0 -0.63355279 -12.48241 0.211365 
2003 10 29 01 44 00 0 0 -1.2112652 -13.084858 0.416168 
2003 10 29 01 47 00 0 0 -3.27531817 -15.548918 1.6713813 
2003 10 29 01 48 00 0 0 -4.7797178 -14.799351 2.575006 
2003 10 29 01 49 00 0 0 -6.213407 -14.805321 3.73484 
2003 10 29 01 50 00 0 0 -6.523258 -14.608554 3.936376 
2003 10 29 01 51 00 0 0 -5.6240026 -13.893529 4.396479 
2003 10 29 01 52 00 0 0 -4.454655 -13.224678 5.109941 
2003 10 29 01 53 00 0 0 -5.610314 -12.514802 5.245989 
2003 10 29 01 54 00 0 0 -7.023649 -12.187375 5.547666 
2003 10 29 01 55 00 0 0 -8.073424 -13.237372 5.466761 
2003 10 29 01 56 00 0 0 -8.566592 -15.4794447 6.29061512 
2003 10 29 01 59 00 0 0 -15.19414 -17.7337859 11.679742 
2003 10 29 02 00 00 0 0 -15.859825 -18.581003 12.135888 
2003 10 29 02 04 00 0 0 -16.24126 -17.322373 12.75783 
2003 10 29 02 08 00 0 0 -20.19712 -16.664812 13.88002 
2003 10 29 02 10 00 0 0 -20.98798 -16.058088 12.64107 
2003 10 29 02 12 00 0 0 -21.86531 -13.879914 15.21893 
2003 10 29 02 13 00 0 0 -22.17397 -12.178357 13.34146 
2003 10 29 02 14 00 0 0 -17.57455 -11.541681 12.77999 
2003 10 29 02 15 00 0 0 -17.04152 -10.339909 12.14469 
2003 10 29 02 16 00 0 0 -18.91789 -9.812404 9.9143 
2003 10 29 02 20 00 0 0 -14.969013 -6.176398 9.505043 
2003 10 29 02 23 00 0 0 -12.556112 -4.316856 7.800349 
2003 10 29 02 24 00 0 0 -12.185689 -3.736619 7.242283 
2003 10 29 02 27 00 0 0 -9.621523 -1.5398284 5.6568924 
2003 10 29 02 28 00 0 0 -9.397538 -0.9454303 5.3197914 
2003 10 29 02 30 00 0 0 -10.256763 0.6623801 5.250918 
2003 10 29 02 32 00 0 0 -9.090785 1.280645 5.297728 
2003 10 29 02 34 00 0 0 -5.996164 1.0206022 3.1559621 
2003 10 29 02 35 00 0 0 -2.497308 5.9859 0.628168 
2003 10 29 02 36 00 0 0 -5.0021636 5.471758 2.215672 
2003 10 29 02 40 00 0 0 -5.146391 0.311493 1.832622 
2003 10 29 02 44 00 0 0 -4.216113 -2.091388 1.817428 
2003 10 29 02 46 00 0 0 -5.1145532 -3.622544 2.332335 
2003 10 29 02 48 00 0 0 -5.131461 -5.2976293 4.980534 
2003 10 29 02 50 00 0 0 -4.744601 -1.880085 4.087701 
2003 10 29 02 52 00 0 0 -6.173584 -0.892818 2.5784692 
2003 10 29 02 56 00 0 0 -4.7610551 1.535731 1.321176 
2003 10 29 02 59 00 0 0 -2.800008 0.644397 3.449565 
2003 10 29 03 00 00 0 0 -4.011588 -0.040532 4.111254 
2003 10 29 03 01 00 0 0 -4.578265 -0.932387 5.9443339 
2003 10 29 03 02 00 0 0 -4.031992 -2.685353 7.595542 
2003 10 29 03 03 00 0 0 -6.539307 -4.69445441 4.723564 
