#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument HRN
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 49.803186 -19.02689 66.965317 
2003 10 29 01 01 00 0 0 76.00612 -18.29007 81.744936 
2003 10 29 01 02 00 0 0 81.8186 -15.36718 87.26715 
2003 10 29 01 03 00 0 0 83.12098 -10.08648 98.87807 
2003 10 29 01 04 00 0 0 84.53537 -5.68448 110.9062 
2003 10 29 01 05 00 0 0 83.78221 -2.31791 118.06923 
2003 10 29 01 06 00 0 0 80.96003 1.25432 123.06795 
2003 10 29 01 07 00 0 0 78.78037 3.14674 125.8655 
2003 10 29 01 08 00 0 0 75.31172 4.28457 130.18874 
2003 10 29 01 09 00 0 0 69.60265 6.35456000000001 129.66722 
2003 10 29 01 10 00 0 0 54.20328 5.34765 136.47487 
2003 10 29 01 11 00 0 0 40.25437 4.28935999999999 146.30778 
2003 10 29 01 12 00 0 0 21.864271 1.67448 152.01478 
2003 10 29 01 16 00 0 0 -5.0183 3.23372 159.196126 
2003 10 29 01 17 00 0 0 -5.91488 7.72612 161.57758 
2003 10 29 01 18 00 0 0 -12.497158 9.83703 161.720221 
2003 10 29 01 20 00 0 0 -19.52391 12.56471 172.045026 
2003 10 29 01 24 00 0 0 14.23241 31.91229 151.62144 
2003 10 29 01 27 00 0 0 4.91572 44.4069 154.216765 
2003 10 29 01 28 00 0 0 -2.79962 31.82704 189.251407 
2003 10 29 01 30 00 0 0 -20.174599 31.52227 220.36395 
2003 10 29 01 31 00 0 0 -40.32267 28.02404 230.341316 
2003 10 29 01 32 00 0 0 -42.4715175 36.31055 230.61018 
2003 10 29 01 33 00 0 0 -55.585281 37.10771 233.11225 
2003 10 29 01 36 00 0 0 -84.60374 33.64104 238.38928 
2003 10 29 01 38 00 0 0 -106.875233 22.72402 277.663324 
2003 10 29 01 40 00 0 0 -83.2462099 39.54522 272.85216 
2003 10 29 01 44 00 0 0 -105.182433 36.93659 274.98723 
2003 10 29 01 47 00 0 0 -109.599579 48.13204 269.59427 
2003 10 29 01 48 00 0 0 -115.55274 47.62744 271.91539 
2003 10 29 01 49 00 0 0 -114.057218 49.05708 273.80278 
2003 10 29 01 50 00 0 0 -115.602527 50.111492 273.0527 
2003 10 29 01 51 00 0 0 -128.18544 42.650002 277.22805 
2003 10 29 01 52 00 0 0 -127.89091 41.57298 283.08089 
2003 10 29 01 53 00 0 0 -126.89063 40.47462 290.11168 
2003 10 29 01 54 00 0 0 -127.088918 40.016123 294.89221 
2003 10 29 01 55 00 0 0 -121.028835 43.310518 291.24974 
2003 10 29 01 56 00 0 0 -111.054598 49.32315 276.9009 
2003 10 29 01 59 00 0 0 -112.90883 70.382549 224.53559 
2003 10 29 02 00 00 0 0 -121.23638 72.10911 206.40917 
2003 10 29 02 04 00 0 0 -130.56539 56.68256 177.990977 
2003 10 29 02 08 00 0 0 -125.43946 61.54199 115.94658 
2003 10 29 02 10 00 0 0 -116.98064 52.13133 83.583131 
2003 10 29 02 12 00 0 0 -111.573615 37.45852 66.878806 
2003 10 29 02 13 00 0 0 -106.58444 30.53319 57.141918 
2003 10 29 02 14 00 0 0 -101.61814 21.35339 55.022363 
2003 10 29 02 15 00 0 0 -91.84211 15.973656 59.493618 
2003 10 29 02 16 00 0 0 -83.13763 16.728602 51.449143 
2003 10 29 02 20 00 0 0 -59.70656 10.46274 37.990471 
2003 10 29 02 23 00 0 0 -53.40741 9.714589 40.526496 
2003 10 29 02 24 00 0 0 -54.25098 8.162956 43.937084 
2003 10 29 02 27 00 0 0 -62.48139 7.489288 55.8459 
2003 10 29 02 28 00 0 0 -60.819077 7.733995 62.138163 
2003 10 29 02 30 00 0 0 -60.379759 9.6958 69.316776 
2003 10 29 02 32 00 0 0 -66.074372 8.1497 78.2248 
2003 10 29 02 34 00 0 0 -53.820035 10.180085 88.182014 
2003 10 29 02 35 00 0 0 -77.047259 -19.845692 107.1656 
2003 10 29 02 36 00 0 0 -63.839551 -10.558466 129.9671 
2003 10 29 02 40 00 0 0 -68.787563 16.39917 113.3634419 
2003 10 29 02 44 00 0 0 -49.624303 18.450275 111.867121 
2003 10 29 02 46 00 0 0 -53.522432 26.69017 110.06166 
2003 10 29 02 48 00 0 0 -60.2395 31.09111 110.774062 
2003 10 29 02 50 00 0 0 -103.80724 21.318144 117.811629 
2003 10 29 02 52 00 0 0 -113.92836 13.517282 131.747417 
2003 10 29 02 56 00 0 0 -109.61939 -1.8415 194.24508 
2003 10 29 02 59 00 0 0 -76.945324 13.42368 206.158175 
2003 10 29 03 00 00 0 0 -44.65608 20.49313 209.191178 
2003 10 29 03 01 00 0 0 -43.46201 27.54997 207.600123 
2003 10 29 03 02 00 0 0 -32.70216 37.80723 202.4928 
2003 10 29 03 03 00 0 0 -37.2926 41.92939 202.63325 
