#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument MEA
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 37.684027 31.288622 24.786738 
2003 10 29 01 01 00 0 0 33.31229521 30.5031462 27.5087967 
2003 10 29 01 02 00 0 0 36.31464 34.3741272 20.187332 
2003 10 29 01 03 00 0 0 39.087872 37.2935171 19.956827 
2003 10 29 01 04 00 0 0 41.91763 37.395256 18.7779 
2003 10 29 01 05 00 0 0 45.559169 36.483776 17.73888 
2003 10 29 01 06 00 0 0 47.033101 34.488127 19.08703 
2003 10 29 01 07 00 0 0 50.11657 33.61348 16.3256 
2003 10 29 01 08 00 0 0 48.86078 29.947498 19.99185 
2003 10 29 01 09 00 0 0 49.5094 24.672715 20.1825 
2003 10 29 01 10 00 0 0 51.657762 23.696346 18.47486 
2003 10 29 01 11 00 0 0 53.182305 22.979514 16.46438 
2003 10 29 01 12 00 0 0 52.301708 20.89888 16.52135 
2003 10 29 01 16 00 0 0 40.8461 14.08936 12.47387 
2003 10 29 01 17 00 0 0 39.73249 9.7687 9.79261 
2003 10 29 01 18 00 0 0 38.166009 6.83522 9.988115 
2003 10 29 01 20 00 0 0 32.81134 11.05934 9.97651 
2003 10 29 01 24 00 0 0 28.97364 -6.186753 18.5291015 
2003 10 29 01 27 00 0 0 39.004242 -1.4176 1.80911 
2003 10 29 01 28 00 0 0 37.06799 9.78911 13.717641 
2003 10 29 01 30 00 0 0 27.508109 -7.2899 19.93035 
2003 10 29 01 31 00 0 0 29.471114 -6.83987 15.68806 
2003 10 29 01 32 00 0 0 26.143435 -8.60942 17.88084 
2003 10 29 01 33 00 0 0 24.457775 -9.683797 16.13666 
2003 10 29 01 36 00 0 0 19.602758 -16.78166 15.27824 
2003 10 29 01 38 00 0 0 17.111241 -8.911355 26.47505 
2003 10 29 01 40 00 0 0 9.57734 -22.19538 35.387958 
2003 10 29 01 44 00 0 0 9.322594 -22.10062 33.778548 
2003 10 29 01 47 00 0 0 4.72142 -28.88908 37.04071 
2003 10 29 01 48 00 0 0 2.7946 -27.31754 39.02721 
2003 10 29 01 49 00 0 0 0.360862 -27.017254 43.482492 
2003 10 29 01 50 00 0 0 -0.351275999999999 -27.328043 43.558774 
2003 10 29 01 51 00 0 0 0.504659 -25.007261 44.756454 
2003 10 29 01 52 00 0 0 2.253497 -21.45219 47.000696 
2003 10 29 01 53 00 0 0 0.880425000000001 -20.689394 48.857546 
2003 10 29 01 54 00 0 0 -0.221939 -19.594766 50.689943 
2003 10 29 01 55 00 0 0 -2.025315 -20.893466 53.201444 
2003 10 29 01 56 00 0 0 -4.856217 -26.161537 56.4763 
2003 10 29 01 59 00 0 0 -18.05745 -34.65042 65.71192 
2003 10 29 02 00 00 0 0 -20.62154 -36.325209 66.47361 
2003 10 29 02 04 00 0 0 -25.58255 -34.16734 67.61501 
2003 10 29 02 08 00 0 0 -36.90042 -36.54329 64.75334 
2003 10 29 02 10 00 0 0 -42.65235 -36.34214 63.16911 
2003 10 29 02 12 00 0 0 -45.74255 -33.28066 65.41719 
2003 10 29 02 13 00 0 0 -48.60861 -30.78408 59.39723 
2003 10 29 02 14 00 0 0 -42.75665 -27.35939 56.03838 
2003 10 29 02 15 00 0 0 -42.32729 -21.398341 55.709816 
2003 10 29 02 16 00 0 0 -47.39622 -20.89612 55.816763 
2003 10 29 02 20 00 0 0 -37.03549 -10.014755 40.19846 
2003 10 29 02 23 00 0 0 -28.061772 -4.280633 31.23392 
2003 10 29 02 24 00 0 0 -26.705372 -3.968658 29.7235 
2003 10 29 02 27 00 0 0 -18.723337 -1.080809 23.21284 
2003 10 29 02 28 00 0 0 -16.254805 0.51447 22.07515 
2003 10 29 02 30 00 0 0 -14.556943 2.20888 21.97794 
2003 10 29 02 32 00 0 0 -11.671121 3.313914 22.98821 
2003 10 29 02 34 00 0 0 -10.243843 -0.65580508 21.758331 
2003 10 29 02 35 00 0 0 4.645172 11.81535 0.884897 
2003 10 29 02 36 00 0 0 3.538273 18.7829 14.1700608 
2003 10 29 02 40 00 0 0 -3.395472 0.93674 16.4548 
2003 10 29 02 44 00 0 0 -3.8005042 -5.884013 18.332671 
2003 10 29 02 46 00 0 0 -6.352138 -7.9187354 21.121551 
2003 10 29 02 48 00 0 0 -8.13540244 -9.571883 29.46091 
2003 10 29 02 50 00 0 0 -4.8024955 -5.515457 19.422215 
2003 10 29 02 52 00 0 0 -5.182198 -2.732629 19.883331 
2003 10 29 02 56 00 0 0 8.476568 5.808353 12.764658 
2003 10 29 02 59 00 0 0 14.73298 7.6957 18.996097 
2003 10 29 03 00 00 0 0 16.01582 9.153 20.943709 
2003 10 29 03 01 00 0 0 14.49462 5.501141 26.8407 
2003 10 29 03 02 00 0 0 15.66954 1.489133 29.51775 
2003 10 29 03 03 00 0 0 11.453584 -2.88456 28.1163 
2003 10 29 03 04 00 0 0 8.968845 -4.80178 33.023773 
2003 10 29 03 05 00 0 0 5.764833 -8.216571 35.974388 
2003 10 29 03 08 00 0 0 1.824867 -13.19446 41.2902048 
2003 10 29 03 09 00 0 0 0.762624999999998 -13.093878 43.706891 
2003 10 29 03 12 00 0 0 -5.13861 -15.100046 52.98316 
2003 10 29 03 13 00 0 0 -6.85464 -16.342049 53.81728 
2003 10 29 03 16 00 0 0 -12.165369 -20.547356 56.14524 
2003 10 29 03 17 00 0 0 -14.428979 -23.508265 54.27366 
2003 10 29 03 20 00 0 0 -21.27251 -23.812776 49.45532 
2003 10 29 03 24 00 0 0 -23.53477 -28.656181 50.33416 
2003 10 29 03 27 00 0 0 -24.42062 -24.55279 46.37541 
2003 10 29 03 28 00 0 0 -22.48268 -23.542259 43.71575 
2003 10 29 03 30 00 0 0 -20.462882 -21.530254 43.37511 
2003 10 29 03 31 00 0 0 -22.430563 -20.811561 47.52177 
2003 10 29 03 32 00 0 0 -26.267421 -23.242302 50.32369 
2003 10 29 03 33 00 0 0 -26.6719 -25.61401 48.51136 
2003 10 29 03 36 00 0 0 -28.317651 -21.759133 50.27831 
2003 10 29 03 37 00 0 0 -26.037538 -20.088371 51.27828 
2003 10 29 03 40 00 0 0 -24.305798 -19.49281 46.58132 
2003 10 29 03 41 00 0 0 -21.506067 -15.178704 50.85923 
2003 10 29 03 42 00 0 0 -22.15851 -15.7801423 53.92115 
2003 10 29 03 44 00 0 0 -21.716882 -18.359976 47.90556 
2003 10 29 03 46 00 0 0 -23.728303 -15.12788 58.91674 
2003 10 29 03 48 00 0 0 -27.051037 -20.727648 60.65039 
2003 10 29 03 50 00 0 0 -30.318572 -23.539159 59.70836 
2003 10 29 03 52 00 0 0 -33.274792 -23.15386 63.52864 
2003 10 29 03 54 00 0 0 -33.6467771 -23.054084 63.94288 
2003 10 29 03 56 00 0 0 -28.278873 -19.253393 61.99102 
2003 10 29 03 58 00 0 0 -30.944904 -20.422796 64.84345 
2003 10 29 04 00 00 0 0 -29.489075 -20.765474 64.63627 
2003 10 29 04 04 00 0 0 -22.99733 -13.20504 62.903935 
