#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument OTT
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 26.255015 16.060013 -6.612388 
2003 10 29 01 01 00 0 0 27.467992 13.424591 -9.15007 
2003 10 29 01 02 00 0 0 29.2955982 10.63188 -12.130852 
2003 10 29 01 03 00 0 0 30.4848651 7.85223 -12.649332 
2003 10 29 01 04 00 0 0 30.333689 5.51055 -12.040975 
2003 10 29 01 05 00 0 0 30.736204 3.72738 -10.855275 
2003 10 29 01 06 00 0 0 29.27566 2.29927 -8.202025 
2003 10 29 01 07 00 0 0 27.553529 0.21509 -7.058589 
2003 10 29 01 08 00 0 0 25.1803 -1.09801 -4.291808 
2003 10 29 01 09 00 0 0 23.280352 -1.711484 -0.513319000000001 
2003 10 29 01 10 00 0 0 23.69864 -2.247708 -0.428173 
2003 10 29 01 11 00 0 0 24.026483 -2.659971 -0.42597 
2003 10 29 01 12 00 0 0 23.009558 -3.694803 1.965477 
2003 10 29 01 16 00 0 0 18.706172 -8.8802 2.478121 
2003 10 29 01 17 00 0 0 16.455066 -10.3678 4.03122 
2003 10 29 01 18 00 0 0 14.864058 -10.34534 6.28306 
2003 10 29 01 20 00 0 0 13.612624 -10.28801 2.434099 
2003 10 29 01 24 00 0 0 4.47204386 -13.46424 17.017694 
2003 10 29 01 27 00 0 0 6.691386 -15.882867 8.395555 
2003 10 29 01 28 00 0 0 12.965691 -12.38447 1.422444 
2003 10 29 01 30 00 0 0 5.1612857 -12.200328 13.207904 
2003 10 29 01 31 00 0 0 4.251139 -13.068764 14.087378 
2003 10 29 01 32 00 0 0 3.322891 -14.927877 13.429211 
2003 10 29 01 33 00 0 0 1.882291 -16.983182 13.876363 
2003 10 29 01 36 00 0 0 -3.51571985 -21.000611 19.25654 
2003 10 29 01 38 00 0 0 -1.682121 -17.977543 18.095818 
2003 10 29 01 40 00 0 0 -9.693974 -20.386986 30.544049 
2003 10 29 01 44 00 0 0 -12.065181 -19.194638 31.64798 
2003 10 29 01 47 00 0 0 -16.321534 -19.835408 37.28768 
2003 10 29 01 48 00 0 0 -17.645005 -19.087559 37.69138 
2003 10 29 01 49 00 0 0 -18.947676 -18.041028 39.16149 
2003 10 29 01 50 00 0 0 -19.553081 -17.374479 39.57442 
2003 10 29 01 51 00 0 0 -18.367493 -14.834459 38.88921 
2003 10 29 01 52 00 0 0 -15.656159 -12.975521 37.06308 
2003 10 29 01 53 00 0 0 -16.442946 -12.600383 37.10071 
2003 10 29 01 54 00 0 0 -17.339368 -12.327032 37.21094 
2003 10 29 01 55 00 0 0 -18.086251 -12.65872 38.22274 
2003 10 29 01 56 00 0 0 -19.809641 -12.541133 41.99754 
2003 10 29 01 59 00 0 0 -30.176634 -10.363736 53.56483 
2003 10 29 02 00 00 0 0 -31.866793 -10.13336 55.56434 
2003 10 29 02 04 00 0 0 -31.8557562 -4.44818 53.18375 
2003 10 29 02 08 00 0 0 -37.00354 3.52615 51.64508 
2003 10 29 02 10 00 0 0 -34.415234 6.936089 44.71423 
2003 10 29 02 12 00 0 0 -31.710455 10.300527 40.43028 
2003 10 29 02 13 00 0 0 -30.37527 8.283863 36.25633 
2003 10 29 02 14 00 0 0 -23.586537 8.7059222 30.97829 
2003 10 29 02 15 00 0 0 -20.5913382 8.173142 27.12874 
2003 10 29 02 16 00 0 0 -22.3226969 6.1521493 26.01413 
2003 10 29 02 20 00 0 0 -17.6404513 0.741410999999999 25.57633 
2003 10 29 02 23 00 0 0 -15.3770675 -0.292502 21.66833 
2003 10 29 02 24 00 0 0 -15.3475583 -0.0623389999999997 20.77214 
2003 10 29 02 27 00 0 0 -11.633874 0.5433679 16.01202 
2003 10 29 02 28 00 0 0 -10.610235 0.5521698 14.63699 
2003 10 29 02 30 00 0 0 -10.526592 0.515749 13.42507 
2003 10 29 02 32 00 0 0 -8.75638 0.8952431 12.791652 
2003 10 29 02 34 00 0 0 -7.617734 0.3983072 11.367127 
2003 10 29 02 35 00 0 0 0.882101000000001 -1.035978 0.489899 
2003 10 29 02 36 00 0 0 1.130791 -0.0161049999999996 0.542085 
2003 10 29 02 40 00 0 0 -5.834147 -3.6039349 10.778752 
2003 10 29 02 44 00 0 0 -6.495104 -3.6961664 14.224445 
2003 10 29 02 46 00 0 0 -7.614558 -4.2336214 15.32317 
2003 10 29 02 48 00 0 0 -8.541099 -1.964593 18.97038 
2003 10 29 02 50 00 0 0 -8.162684 -2.917562 14.884327 
2003 10 29 02 52 00 0 0 -8.09108 -4.074129 12.982188 
2003 10 29 02 56 00 0 0 -2.447746 -6.830887 6.863105 
2003 10 29 02 59 00 0 0 -0.0200699999999987 -6.091851 7.53402 
2003 10 29 03 00 00 0 0 -0.6639 -6.953033 7.129699 
2003 10 29 03 01 00 0 0 -2.63776 -6.027518 10.75698 
2003 10 29 03 02 00 0 0 -4.0913349 -5.516803 14.052363 
2003 10 29 03 03 00 0 0 -6.750249 -9.0950986 14.82509 
2003 10 29 03 04 00 0 0 -9.00167 -8.8398425 19.18895 
2003 10 29 03 05 00 0 0 -11.511116 -8.538903 21.67448 
2003 10 29 03 08 00 0 0 -13.796888 -6.239141 25.922247 
2003 10 29 03 09 00 0 0 -14.581252 -5.928945 26.91774 
2003 10 29 03 12 00 0 0 -19.086943 -5.696583 32.19782 
2003 10 29 03 13 00 0 0 -20.298932 -6.157069 33.16086 
2003 10 29 03 16 00 0 0 -24.077888 -5.650072 37.07071 
2003 10 29 03 17 00 0 0 -25.193257 -5.907669 37.7401 
2003 10 29 03 20 00 0 0 -25.310935 -6.08504 38.22791 
2003 10 29 03 24 00 0 0 -26.474254 -4.75069 37.81922 
2003 10 29 03 27 00 0 0 -24.3747915 -4.713543 32.45326 
2003 10 29 03 28 00 0 0 -22.3423812 -5.00209 29.87958 
2003 10 29 03 30 00 0 0 -21.070529 -4.623387 28.14719 
2003 10 29 03 31 00 0 0 -23.326618 -4.594203 30.2432 
2003 10 29 03 32 00 0 0 -25.118093 -4.829433 32.46231 
2003 10 29 03 33 00 0 0 -25.080091 -4.871455 33.02768 
2003 10 29 03 36 00 0 0 -29.031527 -5.745532 34.49958 
2003 10 29 03 37 00 0 0 -27.703792 -5.494396 33.50213 
2003 10 29 03 40 00 0 0 -26.065965 -6.7441679 30.95012 
2003 10 29 03 41 00 0 0 -26.250791 -4.5913421 31.49028 
2003 10 29 03 42 00 0 0 -26.32528 -4.290056 32.62564 
2003 10 29 03 44 00 0 0 -26.709326 -3.733158 32.26332 
2003 10 29 03 46 00 0 0 -30.119097 -2.814193 36.15798 
2003 10 29 03 48 00 0 0 -31.259414 -2.762641 39.52384 
2003 10 29 03 50 00 0 0 -33.035549 -2.457694 41.19507 
2003 10 29 03 52 00 0 0 -35.8670808 -0.2997828 43.75007 
2003 10 29 03 54 00 0 0 -35.994152 1.147728 42.81951 
2003 10 29 03 56 00 0 0 -32.861059 2.772491 39.78929 
2003 10 29 03 58 00 0 0 -34.824702 3.846536 40.55673 
2003 10 29 04 00 00 0 0 -34.11534 4.654826 39.77767 
2003 10 29 04 04 00 0 0 -33.204749 2.183086 34.71551 
2003 10 29 04 08 00 0 0 -23.94875 0.997686 20.74099 
2003 10 29 04 09 00 0 0 -22.47921 1.05814 20.61418 
2003 10 29 04 12 00 0 0 -25.90287 -0.364203 25.74889 
2003 10 29 04 16 00 0 0 -27.196822 3.82623 31.71268 
2003 10 29 04 19 00 0 0 -31.96044 6.79506 35.3087 
2003 10 29 04 20 00 0 0 -32.786119 8.133199 36.57093 
2003 10 29 04 21 00 0 0 -31.095583 13.700265 35.70276 
2003 10 29 04 22 00 0 0 -29.952096 13.211529 33.28378 
2003 10 29 04 23 00 0 0 -28.762832 14.259532 32.49264 
2003 10 29 04 24 00 0 0 -29.410025 14.100352 33.50305 
2003 10 29 04 25 00 0 0 -28.4852881 13.166855 33.21599 
2003 10 29 04 26 00 0 0 -28.304148 13.67406 33.36614 
2003 10 29 04 27 00 0 0 -29.490145 11.86402 35.17005 
2003 10 29 04 28 00 0 0 -28.660898 11.15146 34.92929 
2003 10 29 04 29 00 0 0 -27.120853 11.3033 33.48052 
2003 10 29 04 30 00 0 0 -24.762896 10.80097 30.75101 
2003 10 29 04 31 00 0 0 -23.503853 11.52804 30.46629 
2003 10 29 04 32 00 0 0 -22.876492 12.787285 30.9313 
2003 10 29 04 33 00 0 0 -23.253916 14.66204 33.70139 
2003 10 29 04 34 00 0 0 -21.508583 14.59782 31.85224 
2003 10 29 04 36 00 0 0 -16.816096 15.6430667 25.94456 
2003 10 29 04 37 00 0 0 -14.206793 15.378723 23.43415 
2003 10 29 04 40 00 0 0 -9.02818 11.262357 19.25212 
2003 10 29 04 44 00 0 0 -2.38226 8.97999 14.72584 
2003 10 29 04 45 00 0 0 5.09284 -0.723460000000001 -1.0358445 
2003 10 29 04 46 00 0 0 2.505983 -2.66036 2.811859 
2003 10 29 04 47 00 0 0 -5.94633 0.752738 11.151828 
2003 10 29 04 48 00 0 0 -13.61241 4.6615287 21.81459 
2003 10 29 04 52 00 0 0 -17.36777 10.78197 32.6115 
2003 10 29 04 54 00 0 0 -17.21878 13.752946 28.68611 
2003 10 29 04 55 00 0 0 -16.89585 10.34147 26.18622 
2003 10 29 04 56 00 0 0 -17.43472 10.00241 27.8078 
2003 10 29 05 00 00 0 0 -17.93344 14.402526 30.76446 
2003 10 29 05 04 00 0 0 -18.93244 16.820303 29.26686 
2003 10 29 05 08 00 0 0 -29.093653 23.73624 38.54918 
2003 10 29 05 12 00 0 0 -29.201038 24.71005 32.67721 
2003 10 29 05 16 00 0 0 -31.417715 21.27641 30.53705 
2003 10 29 05 20 00 0 0 -34.427161 23.211101 32.63844 
2003 10 29 05 24 00 0 0 -35.628237 24.501757 32.81163 
2003 10 29 05 27 00 0 0 -31.63462 21.062915 20.84434 
2003 10 29 05 28 00 0 0 -32.73866 20.74333 23.03251 
2003 10 29 05 29 00 0 0 -34.69067 22.52026 27.85693 
2003 10 29 05 30 00 0 0 -35.974242 23.77555 29.90577 
2003 10 29 05 32 00 0 0 -36.462336 25.470127 30.360634 
2003 10 29 05 36 00 0 0 -29.549944 22.151543 22.71337 
2003 10 29 05 37 00 0 0 -28.205532 21.065414 21.23177 
2003 10 29 05 40 00 0 0 -31.563492 18.00971 27.486168 
2003 10 29 05 41 00 0 0 -28.34566 17.1823904 23.2705 
2003 10 29 05 44 00 0 0 -26.46151 13.285811 23.975778 
2003 10 29 05 48 00 0 0 -27.75127 9.303179 17.89214 
2003 10 29 05 52 00 0 0 -30.47987 13.003034 23.71816 
2003 10 29 05 56 00 0 0 -26.61111 16.768872 16.76892 
2003 10 29 06 00 10 0 0 -29.9899 20.67517 23.25688 
2003 10 29 06 00 20 0 0 -29.92296 20.90294 23.60935 
2003 10 29 06 00 30 0 0 -30.01337 20.93561 23.3551 
2003 10 29 06 00 40 0 0 -30.19329 21.30868 23.7114 
2003 10 29 06 00 50 0 0 -30.14427 21.64067 23.89984 
2003 10 29 06 01 00 0 0 -29.95608 21.84994 23.72516 
2003 10 29 06 01 10 0 0 -29.76632 21.99765 23.44408 
2003 10 29 06 01 20 0 0 -29.5066 22.11079 23.23852 
2003 10 29 06 01 30 0 0 -28.02283 22.776494 22.27267 
2003 10 29 06 01 40 0 0 -27.3057 23.893108 21.67044 
2003 10 29 06 01 50 0 0 -27.30538 24.795437 21.68496 
2003 10 29 06 02 10 0 0 -28.300529 26.24122 22.55221 
2003 10 29 06 02 30 0 0 -28.916756 26.8028 23.11821 
2003 10 29 06 03 10 0 0 -27.919317 27.57653 22.81384 
2003 10 29 06 03 40 0 0 -27.838063 30.03248 22.61212 
2003 10 29 06 04 00 0 0 -29.76691 41.60892 33.70856 
2003 10 29 06 04 10 0 0 -28.862882 45.44098 77.03838 
