#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument PBQ
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 70.747137 37.6510907 -48.101958 
2003 10 29 01 01 00 0 0 81.057384 38.724802 -51.21762 
2003 10 29 01 02 00 0 0 82.984492 35.36549 -61.219931 
2003 10 29 01 03 00 0 0 88.764767 30.85783 -67.36571 
2003 10 29 01 04 00 0 0 92.365062 28.13274 -65.40403 
2003 10 29 01 05 00 0 0 95.906863 25.64276 -61.38546 
2003 10 29 01 06 00 0 0 96.791373 23.290826 -54.93276 
2003 10 29 01 07 00 0 0 95.310303 21.16217 -49.471953 
2003 10 29 01 08 00 0 0 94.108795 19.55622 -43.874549 
2003 10 29 01 09 00 0 0 92.62809 18.80022 -34.6867085 
2003 10 29 01 10 00 0 0 90.33869 17.13891 -33.957129 
2003 10 29 01 11 00 0 0 89.571442 16.12418 -35.30918 
2003 10 29 01 12 00 0 0 88.27335 13.83956 -32.940371 
2003 10 29 01 16 00 0 0 91.0193854 9.54446999999999 -43.220675 
2003 10 29 01 17 00 0 0 88.91479 9.1862 -38.05177 
2003 10 29 01 18 00 0 0 88.893335 9.54906999999999 -32.242341 
2003 10 29 01 20 00 0 0 88.058524 11.22213 -37.088355 
2003 10 29 01 24 00 0 0 85.117586 10.04337 2.306889 
2003 10 29 01 27 00 0 0 81.66281 7.46261 -8.5002 
2003 10 29 01 28 00 0 0 86.507221 10.75847 -34.349737 
2003 10 29 01 30 00 0 0 103.146854 17.74771 -15.653534 
2003 10 29 01 31 00 0 0 100.181915 15.555844 -9.301714 
2003 10 29 01 32 00 0 0 96.54961 12.96146 -8.62368467 
2003 10 29 01 33 00 0 0 92.60219 9.43827 -5.738595 
2003 10 29 01 36 00 0 0 90.023898 4.49834999999999 11.74112 
2003 10 29 01 38 00 0 0 96.296688 6.45258 -4.156076 
2003 10 29 01 40 00 0 0 101.903843 8.03589000000001 23.07838 
2003 10 29 01 44 00 0 0 93.821504 5.76585799999999 26.73395 
2003 10 29 01 47 00 0 0 96.08957 5.53439 32.63844 
2003 10 29 01 48 00 0 0 93.57933 4.86537100000001 31.13471 
2003 10 29 01 49 00 0 0 93.04118 4.636797 31.70128 
2003 10 29 01 50 00 0 0 92.60453 4.657876 32.31672 
2003 10 29 01 51 00 0 0 94.53199 5.56392699999999 29.80441 
2003 10 29 01 52 00 0 0 94.988228 7.3198441 24.87796 
2003 10 29 01 53 00 0 0 95.44949 7.790432 22.79219 
2003 10 29 01 54 00 0 0 95.09373 8.251942 21.85605 
2003 10 29 01 55 00 0 0 96.27771 8.23772999999998 22.6572 
2003 10 29 01 56 00 0 0 98.109334 9.59092000000001 31.1779 
2003 10 29 01 59 00 0 0 93.457 11.766343 53.98155 
2003 10 29 02 00 00 0 0 91.62276 11.500118 60.17985 
2003 10 29 02 04 00 0 0 83.40242 13.928166 62.621 
2003 10 29 02 08 00 0 0 51.08537 18.64225 93.2548 
2003 10 29 02 10 00 0 0 39.09709 26.50157 95.59868 
2003 10 29 02 12 00 0 0 20.88016 35.19427 93.85966 
2003 10 29 02 13 00 0 0 12.53778 32.87475 85.12784 
2003 10 29 02 14 00 0 0 10.61543 31.76764 70.74497 
2003 10 29 02 15 00 0 0 6.10233 28.54017 59.19623 
2003 10 29 02 16 00 0 0 2.73815 24.212902 57.61413 
2003 10 29 02 20 00 0 0 30.9835 15.827575 33.33197 
2003 10 29 02 23 00 0 0 24.58886 10.373539 30.12278 
2003 10 29 02 24 00 0 0 21.82824 9.333119 31.45524 
2003 10 29 02 27 00 0 0 19.64847 9.112567 21.04727 
2003 10 29 02 28 00 0 0 19.02725 8.873718 17.08022 
2003 10 29 02 30 00 0 0 18.40419 8.540676 12.21601 
2003 10 29 02 32 00 0 0 21.39378 8.833347 8.06404 
2003 10 29 02 34 00 0 0 23.32755 8.54179 7.185446 
2003 10 29 02 35 00 0 0 21.59063 3.042496 -17.059798 
2003 10 29 02 36 00 0 0 23.15105 2.38715 -25.6366 
2003 10 29 02 40 00 0 0 27.600836 0.243583000000001 2.943334 
2003 10 29 02 44 00 0 0 34.66523 3.956282 11.588838 
2003 10 29 02 46 00 0 0 34.082479 3.98008799999999 11.67902 
2003 10 29 02 48 00 0 0 36.186746 6.571654 17.79196 
2003 10 29 02 50 00 0 0 26.72937 -0.910072 9.771384 
2003 10 29 02 52 00 0 0 27.215628 -3.34829 2.578663 
2003 10 29 02 56 00 0 0 30.6583 -8.65078 -17.18721 
2003 10 29 02 59 00 0 0 31.3946 -11.74425 -17.10927 
2003 10 29 03 00 00 0 0 25.26163 -16.92657 -10.55184 
2003 10 29 03 01 00 0 0 25.12543 -17.210324 -6.00579 
2003 10 29 03 02 00 0 0 25.00556 -17.81044 4.56385 
2003 10 29 03 03 00 0 0 25.03527 -20.96818 6.22948 
2003 10 29 03 04 00 0 0 30.99175 -17.54347 4.70075 
2003 10 29 03 05 00 0 0 30.49786 -17.14915 8.855985 
2003 10 29 03 08 00 0 0 33.95924 -12.72321 12.620935 
2003 10 29 03 09 00 0 0 34.0538 -12.32764 14.681353 
2003 10 29 03 12 00 0 0 36.45141 -9.97175 23.02818 
2003 10 29 03 13 00 0 0 35.9551 -10.54701 24.95801 
2003 10 29 03 16 00 0 0 34.24443 -9.85633 31.57113 
2003 10 29 03 17 00 0 0 34.3415 -9.70015000000001 31.9798 
2003 10 29 03 20 00 0 0 37.26945 -3.78218 28.44346 
2003 10 29 03 24 00 0 0 35.75665 -1.484832 34.23337 
2003 10 29 03 27 00 0 0 30.79334 -2.56228 25.3184 
2003 10 29 03 28 00 0 0 30.34529 -3.3584 20.76367 
2003 10 29 03 30 00 0 0 28.542934 -1.71455 15.46227 
2003 10 29 03 31 00 0 0 27.033063 -2.7815 17.612259 
2003 10 29 03 32 00 0 0 26.67935 -2.52453 20.383544 
2003 10 29 03 33 00 0 0 26.79222 -1.513904 22.00779 
2003 10 29 03 36 00 0 0 20.11597 -5.899214 28.90388 
2003 10 29 03 37 00 0 0 20.51177 -6.301142 27.16713 
2003 10 29 03 40 00 0 0 19.650863 -7.74929 23.56044 
2003 10 29 03 41 00 0 0 19.716306 -4.041543 20.999804 
