#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument WNG
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 10.456518 -21.88133 -3.371797 
2003 10 29 01 01 00 0 0 11.03873 -24.8559587 -2.756892 
2003 10 29 01 02 00 0 0 14.24801 -26.801868 -4.488468 
2003 10 29 01 03 00 0 0 15.33123 -26.205689 -5.513437 
2003 10 29 01 04 00 0 0 16.67804 -25.8819671 -6.171636 
2003 10 29 01 05 00 0 0 16.90728 -24.4777889 -6.87538 
2003 10 29 01 06 00 0 0 16.35892 -22.024613 -6.92853 
2003 10 29 01 07 00 0 0 16.71223 -21.870748 -5.82624 
2003 10 29 01 08 00 0 0 15.28462 -20.234355 -4.463302 
2003 10 29 01 09 00 0 0 12.88721 -16.839868 -3.696128 
2003 10 29 01 10 00 0 0 12.01569 -14.740706 -4.575114 
2003 10 29 01 11 00 0 0 10.507 -13.503389 -4.794222 
2003 10 29 01 12 00 0 0 9.568688 -11.593913 -5.7618756 
2003 10 29 01 16 00 0 0 6.297492 -3.194827 -5.896629 
2003 10 29 01 17 00 0 0 4.565213 0.0763920000000002 -5.221807 
2003 10 29 01 18 00 0 0 3.868219 2.883806 -5.998393 
2003 10 29 01 20 00 0 0 7.027895 1.3004376 -8.58413 
2003 10 29 01 24 00 0 0 5.644645 7.466832 -5.876272 
2003 10 29 01 27 00 0 0 7.554313 5.925057 -11.355048 
2003 10 29 01 28 00 0 0 9.453577 2.14909 -18.80037 
2003 10 29 01 30 00 0 0 4.416347 6.723649 -18.0262328 
2003 10 29 01 31 00 0 0 4.125345 8.18149 -19.977805 
2003 10 29 01 32 00 0 0 3.5340383 11.315245 -20.580979 
2003 10 29 01 33 00 0 0 4.97413 13.701622 -22.216544 
2003 10 29 01 36 00 0 0 5.918268 18.400862 -24.195614 
2003 10 29 01 38 00 0 0 6.7460117 14.856927 -29.486388 
2003 10 29 01 40 00 0 0 3.15859 19.137861 -23.30505 
2003 10 29 01 44 00 0 0 3.31771 19.147926 -24.86176 
2003 10 29 01 47 00 0 0 0.94223 22.517703 -22.34481 
