#Compaign CEDAR-GEM 2011
#Event 1
#Metrics 4
#Instrument YKC
#Submission
#ModelSettingID 9a_SWMF
#SWPC_SWMF_030311_1a
Year Month Day Hour Min Sec GeomagLat GeomagLon B_NorthGeomag B_EastGeomag B_DownGeomag
[ ]  [ ]  [ ] [ ]  [ ]  [ ] [deg] [deg] [nT] [nT] [nT]
2003 10 29 01 00 00 0 0 106.863763 37.802401 9.02335 
2003 10 29 01 01 00 0 0 120.497751 40.667541 5.69384 
2003 10 29 01 02 00 0 0 119.48686 48.2829768 3.92551 
2003 10 29 01 03 00 0 0 124.83485 52.7773643 4.06414 
2003 10 29 01 04 00 0 0 128.77754 55.810089 -5.96305 
2003 10 29 01 05 00 0 0 135.00801 56.540081 -16.395094 
2003 10 29 01 06 00 0 0 143.36659 58.482388 -19.131436 
2003 10 29 01 07 00 0 0 143.44379 56.945868 -24.7629563 
2003 10 29 01 08 00 0 0 147.77514 52.0051714 -25.150268 
2003 10 29 01 09 00 0 0 147.708 43.20904 -31.746591 
2003 10 29 01 10 00 0 0 147.199783 41.676296 -38.93712 
2003 10 29 01 11 00 0 0 145.057476 40.43611 -43.06521 
2003 10 29 01 12 00 0 0 142.5769236 40.30389 -42.61849 
2003 10 29 01 16 00 0 0 132.56026 40.88587 -27.7919506 
2003 10 29 01 17 00 0 0 121.80794 32.26833 -37.850241 
2003 10 29 01 18 00 0 0 119.28753 27.68849 -34.993776 
2003 10 29 01 20 00 0 0 116.58032 35.27117 -30.15205 
2003 10 29 01 24 00 0 0 102.8146855 11.647956 -17.974735 
2003 10 29 01 27 00 0 0 96.96317 16.55008 -53.0665 
2003 10 29 01 28 00 0 0 122.19007 37.68534 -57.582504 
2003 10 29 01 30 00 0 0 116.997065 17.12322 -33.554595 
2003 10 29 01 31 00 0 0 112.1146281 19.20373 -35.567045 
2003 10 29 01 32 00 0 0 111.0922514 18.69836 -31.49414 
2003 10 29 01 33 00 0 0 105.600536 16.25902 -31.990172 
2003 10 29 01 36 00 0 0 98.834624 6.42603000000001 -29.935042 
2003 10 29 01 38 00 0 0 120.62204 29.78378 -30.94064 
2003 10 29 01 40 00 0 0 115.32417 9.23074 -5.772427 
2003 10 29 01 44 00 0 0 111.81641 11.09015 -13.176584 
2003 10 29 01 47 00 0 0 105.54252 5.64079199999999 -3.30957 
2003 10 29 01 48 00 0 0 105.31285 8.69551 -1.6329 
2003 10 29 01 49 00 0 0 107.392 10.026363 3.14766 
2003 10 29 01 50 00 0 0 105.54752 8.867386 6.34868 
2003 10 29 01 51 00 0 0 109.9462 10.39769 1.93529 
2003 10 29 01 52 00 0 0 119.309184 14.69635 -5.76089 
2003 10 29 01 53 00 0 0 123.57191 15.42724 -6.88752 
2003 10 29 01 54 00 0 0 125.87091 16.274697 -7.52185 
2003 10 29 01 55 00 0 0 127.08809 15.21891 -4.07463 
2003 10 29 01 56 00 0 0 123.46212 11.8809 8.0325 
